Nome da Tarefa;Tipo da Tarefa;Tipo da Tarefa ID;Data de Criação;Data de Conclusão;Status;Status Descrição;Usuário;ID do Usuário
Consectetur iusto voluptatem;Tarefa a Ser Feita;2;2025-05-15 16:24:04;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Dolore harum quos omnis maxime facilis;Tarefa a Ser Feita;2;2023-10-15 16:00:05;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Fuga ipsam autem alias commodi;Tarefa a Ser Feita;2;2024-06-03 20:29:11;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Facilis non;Tarefa a Ser Feita;2;2024-04-13 01:45:27;2025-03-03 01:45:27;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Laborum tempora soluta;Tarefa a Ser Feita;2;2024-11-11 21:51:32;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Quis voluptatem;Tarefa a Ser Feita;2;2024-11-26 01:43:12;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Hic officiis vitae;Tarefa a Ser Feita;2;2023-10-08 06:55:45;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar aut;Item de Compra;1;2023-10-19 23:56:19;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar aperiam;Item de Compra;1;2023-11-19 22:17:27;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar nam;Item de Compra;1;2024-03-27 12:38:46;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar ea;Item de Compra;1;2025-05-21 13:34:09;2025-06-02 20:52:40;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Praesentium magnam veniam fugiat necessitatibus;Tarefa a Ser Feita;2;2023-08-10 03:50:33;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Sunt beatae;Tarefa a Ser Feita;2;2023-06-19 12:57:21;2024-01-30 12:57:21;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar voluptatum;Item de Compra;1;2024-07-25 01:51:28;2025-04-13 01:51:28;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Autem architecto;Tarefa a Ser Feita;2;2024-09-23 20:49:35;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar doloribus;Item de Compra;1;2024-04-01 00:29:52;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar adipisci;Item de Compra;1;2023-11-22 12:32:34;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Ipsum doloremque officiis ipsa assumenda sint;Tarefa a Ser Feita;2;2025-03-22 23:24:50;2025-06-02 20:50:40;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar vitae;Item de Compra;1;2024-11-21 22:29:32;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Beatae architecto nam;Tarefa a Ser Feita;2;2024-10-05 00:03:48;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Beatae quo voluptates consectetur non;Tarefa a Ser Feita;2;2024-06-29 12:24:01;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Voluptates minima doloremque ratione;Tarefa a Ser Feita;2;2023-10-11 09:11:00;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Nihil ullam mollitia nobis atque;Tarefa a Ser Feita;2;2024-10-24 03:58:26;2025-06-02 21:41:40;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar occaecati;Item de Compra;1;2023-09-21 14:34:16;2024-02-11 14:34:16;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Dolore eligendi excepturi;Tarefa a Ser Feita;2;2023-08-25 04:18:12;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Ducimus et repellendus;Tarefa a Ser Feita;2;2024-01-29 18:00:24;2024-02-02 18:00:24;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Pariatur saepe temporibus mollitia qui inventore omnis;Tarefa a Ser Feita;2;2024-02-11 03:18:52;2024-10-23 03:18:52;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Dolore aperiam at vitae tempora veniam nam consequuntur;Tarefa a Ser Feita;2;2023-09-16 12:00:31;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
